Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
soc.client.AWTClickTester, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.AWTToolTip, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.AskDialog, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.ChannelFrame, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.ColorSquare, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.ColorSquareLarger, 42.0, 42.0, 0.0, 30.0, 30.0, 0.0, 
soc.client.ColorSquareListener, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.FaceChooserFrame, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.NewGameOptionsFrame, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.NotifyDialog, 12.0, 12.0, 0.0, 24.0, 24.0, 0.0, 
soc.client.SOCAccountClient, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCBoardPanel, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCBuildingPanel, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCChoosePlayerDialog, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCConnectOrPracticePanel, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCDiscardDialog, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCDiscoveryDialog, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
soc.client.SOCDisplaylessPlayerClient, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCFaceButton, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCHandPanel, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCMonopolyDialog, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCPlayerClient, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCPlayerInterface, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SOCPracticeAskDialog, 12.0, 10.0, 16.66666666666667, 24.0, 23.0, 4.166666666666671, 
soc.client.SOCQuitAllConfirmDialog, 12.0, 11.0, 8.333333333333329, 24.0, 24.0, 0.0, 
soc.client.SOCQuitConfirmDialog, 12.0, 11.0, 8.333333333333329, 24.0, 24.0, 0.0, 
soc.client.ShadowedBox, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SnippingTextArea, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SpeechBalloon, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.client.SquaresPanel, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
soc.client.TradeOfferPanel, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.debug.D, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.disableDebug.D, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCBoard, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCCity, 8.0, 8.0, 0.0, 5.0, 3.0, 40.0, 
soc.game.SOCDevCardConstants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCDevCardSet, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCForceEndTurnResult, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCGame, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCGameOption, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCGameOptionVersionException, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCLRPathData, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCMoveRobberResult, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCOldLRStats, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCPlayer, 18.0, 18.0, 0.0, 0.0, 0.0, NaN, 
soc.game.SOCPlayerNumbers, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCPlayingPiece, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCResourceConstants, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCResourceSet, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.game.SOCRoad, 8.0, 8.0, 0.0, 5.0, 3.0, 40.0, 
soc.game.SOCSettlement, 8.0, 8.0, 0.0, 5.0, 3.0, 40.0, 
soc.game.SOCTradeOffer, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.message.SOCAcceptOffer, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCAdminPing, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCAdminReset, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCBCastTextMsg, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCBankTrade, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCBoardLayout, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCBuildRequest, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCBuyCardRequest, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCCancelBuildRequest, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
soc.message.SOCChangeFace, 89.0, 89.0, 0.0, 9.0, 8.0, 11.111111111111114, 
